geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (0.055278 51.505299),EGLC,medium_airport,London City Airport,51.505299,0.055278,19,Europe,GB,GB-ENG,London,yes,EGLC,LCY,,1011
POINT (136.9340057 50.4090004),UHKK,medium_airport,Komsomolsk-on-Amur Airport,50.4090004,136.9340057,92,Asia,RU,RU-KHA,Komsomolsk-on-Amur,yes,UHKK,KXK,,1012
POINT (-0.461941 51.4706),EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83,Europe,GB,GB-ENG,London,yes,EGLL,LHR,screening,1013
POINT (160.5480042 61.83499908),UHMG,medium_airport,Chaybukha Airport,61.83499908,160.5480042,207,Asia,RU,RU-MAG,Chaybukha,yes,UHMG,,,1014
POINT (0.695555985 51.57139969),EGMC,medium_airport,Southend Airport,51.57139969,0.695555985,49,Europe,GB,GB-ENG,Southend,yes,EGMC,SEN,,1015
POINT (166.1399994 67.84500122),UHMK,medium_airport,Keperveem Airport,67.84500122,166.1399994,623,Asia,RU,RU-CHU,Keperveem,yes,UHMK,,,1016
POINT (0.939167023 50.95610046),EGMD,medium_airport,Lydd Airport,50.95610046,0.939167023,13,Europe,GB,GB-ENG,"Lydd, Ashford",yes,EGMD,LYX,,1017
POINT (140.6499939 53.15499878),UHNN,medium_airport,Nikolayevsk-na-Amure Airport,53.15499878,140.6499939,170,Asia,RU,RU-KHA,Nikolayevsk-na-Amure Airport,yes,UHNN,NLI,,1018
POINT (-3.028609991 53.77170181),EGNH,medium_airport,Blackpool International Airport,53.77170181,-3.028609991,34,Europe,GB,GB-ENG,Blackpool,yes,EGNH,BLK,Restrictions,1019
POINT (143.0565033 59.4100647),UHOO,medium_airport,Okhotsk Airport,59.4100647,143.0565033,*****,Asia,RU,RU-KHA,Okhotsk,yes,UHOO,OHO,,1020
POINT (-0.350832999 53.57440186),EGNJ,medium_airport,Humberside Airport,53.57440186,-0.350832999,121,Europe,GB,GB-ENG,Grimsby,yes,EGNJ,HUY,,1021
POINT (105.7300034 56.8567009),UITT,medium_airport,Ust-Kut Airport,56.8567009,105.7300034,2188,Asia,RU,RU-IRK,Ust-Kut,yes,UITT,UKX,,1022
